"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012030221","3","away",FALSE,"OT","John Tortorella",2,35,44,8,3,0,44.8,17,7
"2012030221","6","home",TRUE,"OT","Claude Julien",3,48,51,6,4,1,55.2,4,5
"2012030222","3","away",FALSE,"REG","John Tortorella",2,37,33,11,5,0,51.7,1,4
"2013020446","25","home",TRUE,"REG","Lindy Ruff",5,34,18,20,5,0,49.3,13,6
"2013020521","9","away",FALSE,"REG","Paul MacLean",2,25,17,20,3,2,60,6,10
"2013020521","1","home",TRUE,"REG","Peter DeBoer",5,33,12,18,4,1,40,3,10
"2014021126","7","away",FALSE,"REG","Ted Nolan",3,38,26,4,3,0,56.9,0,9
"2014021126","21","home",TRUE,"REG","Patrick Roy",5,22,26,8,1,0,43.1,5,6
"2014020611","13","away",TRUE,"REG","Gerard Gallant",6,35,15,14,1,0,47.9,12,10
"2017020728","9","away",FALSE,"REG","Guy Boucher",1,38,16,4,2,0,48.4,1,2
"2017020728","30","home",TRUE,"REG","Bruce Boudreau",3,36,17,4,2,1,51.6,4,9
"2016020678","9","away",TRUE,"REG","Guy Boucher",2,28,14,10,4,0,54.3,4,4
"2016020678","29","home",FALSE,"REG","John Tortorella",0,42,16,22,3,0,45.7,3,7
"2015030411","5","home",TRUE,"REG","Mike Sullivan",3,41,36,6,3,0,53.2,10,10
"2015030412","28","away",FALSE,"OT","Peter DeBoer",1,22,43,4,1,0,45.2,4,5
"2015030412","5","home",TRUE,"OT","Mike Sullivan",2,30,36,2,2,0,54.8,8,8
"2012020528","24","away",TRUE,"REG","Bruce Boudreau",4,30,21,8,2,1,51.7,8,9
"2012020528","25","home",FALSE,"REG","Glen Gulutzan",0,26,30,4,4,0,48.3,19,10
"2012020168","6","away",TRUE,"REG","Claude Julien",3,39,15,21,5,1,47.6,11,4
"2014020123","8","away",FALSE,"REG","Michel Therrien",0,29,15,12,4,0,43.9,9,7
"2014020123","22","home",TRUE,"REG","Dallas Eakins",3,19,16,8,6,0,56.1,19,8
"2014020506","15","away",FALSE,"REG","Barry Trotz",2,32,28,14,5,1,42.4,7,6
"2015020706","9","home",FALSE,"REG","Dave Cameron",2,30,27,13,2,0,48.3,10,12
"2015020401","9","away",FALSE,"REG","Dave Cameron",1,24,30,4,2,0,36.4,13,5
"2015020401","3","home",TRUE,"REG","Alain Vigneault",4,31,32,4,2,2,63.6,11,5
"2017020197","10","away",FALSE,"REG","Mike Babcock",3,36,25,10,4,1,53,6,1
"2017020197","26","home",TRUE,"REG","John Stevens",5,28,19,10,4,2,47,15,2
"2017020800","3","away",FALSE,"REG","Alain Vigneault",2,22,28,17,3,2,43.9,10,5
"2012020297","30","away",TRUE,"REG","Mike Yeo",4,23,15,15,5,1,39.7,4,4
"2012020297","27","home",FALSE,"REG","Dave Tippett",3,28,36,17,3,0,60.3,4,1
"2013020371","4","away",FALSE,"REG","Craig Berube",2,21,30,27,2,1,43.9,8,7
"2013020371","14","home",TRUE,"REG","Jon Cooper",4,35,19,13,4,1,56.1,8,7
"2012020393","15","away",TRUE,"REG","Adam Oates",3,25,31,10,3,1,43.3,5,6
"2013021011","20","away",FALSE,"REG","Bob Hartley",2,31,37,20,4,2,43.9,4,2
"2013021011","27","home",TRUE,"REG","Dave Tippett",3,26,24,12,8,1,56.1,6,7
"2012020336","21","away",FALSE,"REG","Joe Sacco",2,22,31,6,2,0,53.2,3,6
"2012020336","16","home",TRUE,"REG","Joel Quenneville",3,32,32,4,3,1,46.8,10,8
"2013020039","13","away",FALSE,"REG","Kevin Dineen",1,34,12,27,5,0,49,6,5
"2013021188","18","away",FALSE,"SO","Barry Trotz",2,29,17,4,1,0,51.8,5,5
"2013021188","25","home",TRUE,"SO","Lindy Ruff",2,30,19,2,2,0,48.2,21,12
"2013020631","18","away",FALSE,"SO","Barry Trotz",4,42,36,4,2,0,56.4,2,11
"2012020309","23","home",TRUE,"REG","Alain Vigneault",5,24,24,15,2,0,37.9,6,5
"2012020440","25","away",FALSE,"REG","Glen Gulutzan",3,32,11,11,6,0,51.8,8,13
"2012020440","21","home",TRUE,"REG","Joe Sacco",4,34,22,19,2,0,48.2,3,14
"2014020426","12","away",FALSE,"REG","Bill Peters",1,30,11,6,4,0,43.1,6,5
"2014020426","14","home",TRUE,"REG","Jon Cooper",2,27,17,10,2,1,56.9,7,8
"2014021227","18","away",FALSE,"REG","Peter Laviolette",1,25,15,6,2,0,45.6,6,12
"2014021227","25","home",TRUE,"REG","Lindy Ruff",4,25,19,4,3,1,54.4,11,18
"2014020868","10","away",FALSE,"REG","Peter Horachek",1,24,35,4,4,0,41.2,6,11
"2014020868","12","home",TRUE,"REG","Bill Peters",2,26,26,8,2,1,58.8,11,13
